DS43_PL1,,DS43_PLE_490,,DS43_PLE_500,,DS43_PLE_510,,DS43_PLE_520,,DS43_PLE_530,
483.4299927,6.069272041,373.5299988,23.24140358,373.5299988,118.8057709,373.5299988,342.0586243,373.5299988,162.8809814,373.5299988,46.71492767
484.019989,6.602002144,374,23.20534134,374,116.5988235,374,340.4386597,374,160.6999207,374,45.99682236
484.4700012,7.161573887,374.4599915,22.98952675,374.4599915,117.5417709,374.4599915,338.4342346,374.4599915,160.049469,374.4599915,45.92067337
485.0700073,7.895747185,375.0700073,22.92319107,375.0700073,116.0432587,375.0700073,335.9497986,375.0700073,159.423111,375.0700073,45.2249527
485.519989,8.558804512,375.5299988,22.92576408,375.5299988,114.8205719,375.5299988,332.6098938,375.5299988,159.4875641,375.5299988,45.2244339
485.9700012,9.624840736,376,22.91883469,376,114.1341019,376,331.0762634,376,155.2332458,376,44.30756378
486.5599976,10.38073063,376.4599915,22.64258385,376.4599915,113.7684555,376.4599915,328.5610046,376.4599915,156.1445923,376.4599915,44.33973312
487.0100098,11.57460308,377.0700073,22.49332237,377.0700073,114.832222,377.0700073,330.4724426,377.0700073,156.1327667,377.0700073,44.62202454
487.4599915,12.15979671,377.5299988,22.41547394,377.5299988,112.9510651,377.5299988,329.9590454,377.5299988,155.2814026,377.5299988,45.0979538
488.0499878,13.74998665,378,22.64480972,378,114.6359329,378,331.6616516,378,157.720871,378,44.73033142
488.5,14.55283928,378.4599915,22.31444931,378.4599915,112.5607147,378.4599915,331.8146973,378.4599915,155.9011688,378.4599915,44.12549973
488.9500122,15.39750671,379.0700073,22.44656754,379.0700073,110.6843109,379.0700073,325.0014648,379.0700073,154.2661743,379.0700073,44.23759842
489.5499878,17.88720131,379.5299988,22.91650963,379.5299988,110.4272614,379.5299988,325.509491,379.5299988,153.1085663,379.5299988,43.85138702
490,18.77010536,380,22.05444336,380,110.4853668,380,320.849762,380,151.1342621,380,43.36523819
490.4400024,20.44445229,380.4599915,21.82979393,380.4599915,109.4724579,380.4599915,319.4628906,380.4599915,151.6990356,380.4599915,43.2844162
491.0400085,22.71716309,381.0700073,21.82638359,381.0700073,109.2261276,381.0700073,316.5,381.0700073,150.0179443,381.0700073,42.91975784
491.4899902,24.27194595,381.5299988,21.57603645,381.5299988,110.3363953,381.5299988,314.7372437,381.5299988,149.8210297,381.5299988,42.03902817
491.9400024,26.74142838,382,21.86344147,382,108.7676849,382,311.9568481,382,147.7426453,382,42.67425537
492.5299988,29.39409637,382.4599915,21.46104813,382.4599915,109.2130356,382.4599915,313.0137939,382.4599915,148.0033875,382.4599915,42.37266541
492.980011,31.98665428,383.0700073,22.09469795,383.0700073,106.7921906,383.0700073,311.3901367,383.0700073,147.21698,383.0700073,42.56194687
493.4299927,34.11397171,383.5299988,21.10088348,383.5299988,107.8419724,383.5299988,312.6239929,383.5299988,146.1962433,383.5299988,42.38410568
494.019989,38.10858917,384,21.97737694,384,106.5027924,384,308.1431885,384,146.1159821,384,41.56645966
494.4700012,39.94149399,384.4599915,21.37711716,384.4599915,107.1308289,384.4599915,308.7224121,384.4599915,146.8749695,384.4599915,42.53787613
495.0700073,43.42867661,385.0700073,20.86903,385.0700073,106.3486786,385.0700073,307.7711792,385.0700073,144.526825,385.0700073,41.11023712
495.519989,47.31296539,385.5299988,21.02227402,385.5299988,106.8862381,385.5299988,305.744873,385.5299988,144.8867798,385.5299988,41.62201691
495.9700012,50.4120369,386,20.46429253,386,104.9298248,386,305.7129211,386,144.0175476,386,40.79775238
496.5599976,55.17604828,386.4599915,20.56118011,386.4599915,104.4493561,386.4599915,304.0229797,386.4599915,142.3834229,386.4599915,40.5001297
497.0100098,59.30239868,387.0700073,20.200037,387.0700073,105.0249176,387.0700073,300.0085144,387.0700073,143.49823,387.0700073,40.73121262
497.4599915,63.99211121,387.5299988,20.40948677,387.5299988,104.181076,387.5299988,301.1256104,387.5299988,142.4082642,387.5299988,41.12865829
498.0499878,70.31634521,388,20.51721382,388,103.2788925,388,299.4709167,388,142.5934448,388,40.78360748
498.5,75.32444,388.4599915,20.3087368,388.4599915,104.0330353,388.4599915,298.158844,388.4599915,141.1121216,388.4599915,40.1760025
498.9500122,81.54515076,389.0700073,20.26708221,389.0700073,104.091713,389.0700073,298.8325806,389.0700073,141.8639374,389.0700073,40.88666153
499.5499878,87.37229156,389.5299988,19.95042038,389.5299988,102.4770126,389.5299988,295.6315918,389.5299988,141.008606,389.5299988,40.93455124
500,95.42560577,390,20.08078384,390,101.5746307,390,294.6468811,390,139.105896,390,39.80574799
500.4400024,102.4266968,390.4500122,20.14829063,390.4500122,101.1526718,390.4500122,291.5558777,390.4500122,137.3738861,390.4500122,39.08434677
501.0400085,110.8187637,391.0599976,20.29644775,391.0599976,102.1551666,391.0599976,291.1310425,391.0599976,136.5569458,391.0599976,39.45608902
501.4899902,119.7580719,391.5100098,19.81804657,391.5100098,101.4145279,391.5100098,290.438446,391.5100098,138.6286469,391.5100098,38.76953125
501.9400024,126.8467331,391.9599915,20.29597664,391.9599915,101.0530853,391.9599915,292.8141479,391.9599915,138.320343,391.9599915,39.32901764
502.5299988,140.0202332,392.5700073,20.21159363,392.5700073,100.3047791,392.5700073,291.0658569,392.5700073,137.1897278,392.5700073,39.04017258
502.980011,148.7423553,393.0299988,19.88891029,393.0299988,101.562027,393.0299988,289.6950073,393.0299988,137.0712891,393.0299988,38.49588013
503.4299927,159.4672699,393.480011,20.08522987,393.480011,99.53450775,393.480011,287.1221313,393.480011,136.0565948,393.480011,39.16918945
504.019989,170.4701691,393.9299927,19.60050583,393.9299927,100.3677216,393.9299927,285.7203979,393.9299927,134.9618683,393.9299927,38.5788269
504.4700012,180.4660187,394.5400085,19.76571465,394.5400085,99.3792572,394.5400085,285.3337097,394.5400085,134.6200256,394.5400085,38.58163834
505.0700073,196.1194611,395,19.68206596,395,100.4851227,395,286.4298401,395,135.3331604,395,38.59883499
505.519989,204.4727478,395.4500122,19.62593079,395.4500122,99.09390259,395.4500122,287.6333008,395.4500122,135.5011139,395.4500122,38.38659286
505.9700012,217.417923,396.0599976,19.63835144,396.0599976,98.08905029,396.0599976,282.2971497,396.0599976,134.8025055,396.0599976,38.53885269
506.5599976,227.3358917,396.5100098,19.57364655,396.5100098,96.49936676,396.5100098,282.7524109,396.5100098,134.9782104,396.5100098,37.99144745
507.0100098,237.4954376,396.9599915,19.11719704,396.9599915,98.2831192,396.9599915,280.5317383,396.9599915,134.0531921,396.9599915,37.66697311
507.4599915,248.9197693,397.5700073,19.49526024,397.5700073,97.04862213,397.5700073,279.1515198,397.5700073,133.2344513,397.5700073,36.89874649
508.0499878,255.8831635,398.0299988,19.21389389,398.0299988,96.37046814,398.0299988,277.4395752,398.0299988,131.1711578,398.0299988,36.82170486
508.5,264.1666565,398.480011,18.64406776,398.480011,96.82798004,398.480011,277.3774414,398.480011,131.3815918,398.480011,37.93972397
508.9500122,265.9711304,398.9299927,19.12623024,398.9299927,95.78302002,398.9299927,278.7101746,398.9299927,130.3182831,398.9299927,37.34565353
509.5499878,271.1446838,399.5400085,18.92373657,399.5400085,96.07649231,399.5400085,276.2749939,399.5400085,131.0803833,399.5400085,37.84775925
510,275.8418579,400,18.62457085,400,96.2537384,400,277.0098267,400,130.4945679,400,37.01683426
510.4400024,276.9818115,400.4599915,18.58639526,400.4599915,95.60784149,400.4599915,274.1190796,400.4599915,130.322113,400.4599915,37.48329544
511.0400085,274.352356,401.0700073,19.07160568,401.0700073,94.1750412,401.0700073,274.4352722,401.0700073,129.2347717,401.0700073,37.2742691
511.4899902,275.0642395,401.5299988,18.15570831,401.5299988,95.05023956,401.5299988,275.0017395,401.5299988,129.0172882,401.5299988,36.23085022
511.9400024,270.6852112,402,18.9505806,402,94.72966003,402,271.9761963,402,128.8945313,402,36.20874405
512.5300293,265.9777527,402.4599915,18.41797829,402.4599915,93.57720947,402.4599915,271.2336121,402.4599915,127.4815369,402.4599915,36.52786636
512.9799805,259.4902649,403.0700073,18.06712532,403.0700073,92.76319122,403.0700073,270.2185669,403.0700073,127.1302109,403.0700073,35.563694
513.4299927,249.8794708,403.5299988,18.50600433,403.5299988,93.08249664,403.5299988,268.9462891,403.5299988,127.7689056,403.5299988,36.6161499
514.0200195,239.7524109,404,18.43121529,404,92.3062439,404,267.7672729,404,126.4614944,404,36.21682358
514.4699707,230.515625,404.4599915,18.52424812,404.4599915,92.61336517,404.4599915,268.903656,404.4599915,126.542923,404.4599915,36.93325806
515.0700073,221.2322998,405.0700073,18.37197685,405.0700073,93.09811401,405.0700073,269.5804443,405.0700073,127.5925217,405.0700073,36.3095932
515.5200195,210.7269592,405.5299988,17.9773407,405.5299988,92.65866089,405.5299988,269.1799927,405.5299988,126.0156937,405.5299988,36.66694641
515.9699707,202.8347626,406,18.00093079,406,91.91588593,406,266.4197388,406,125.4209442,406,36.39198685
516.5599976,193.1900787,406.4599915,18.11606598,406.4599915,91.28023529,406.4599915,264.0148926,406.4599915,125.6951828,406.4599915,35.61042786
517.0100098,181.9660645,407.0700073,18.03894615,407.0700073,89.99449158,407.0700073,263.1517944,407.0700073,124.1182785,407.0700073,35.07397079
517.460022,175.0909119,407.5299988,17.45835114,407.5299988,89.46642303,407.5299988,260.1909485,407.5299988,123.6853943,407.5299988,35.07514191
518.0499878,160.7142792,408,17.21742821,408,89.15642548,408,258.8051453,408,122.0586624,408,34.63417053
518.5,156.8651276,408.4599915,17.82829094,408.4599915,89.27339172,408.4599915,256.4081116,408.4599915,120.8307037,408.4599915,34.78996658
518.9500122,147.2388306,409.0700073,17.47153091,409.0700073,88.75830841,409.0700073,253.5723724,409.0700073,119.6894455,409.0700073,34.09814453
519.5499878,137.8740845,409.5299988,17.53692245,409.5299988,87.91444397,409.5299988,254.5980225,409.5299988,118.8763275,409.5299988,34.28445816
520,132.5533142,410,16.91085625,410,86.65459442,410,253.4365692,410,119.470047,410,34.51446152
520.4400024,123.4185104,410.4500122,17.07917213,410.4500122,86.69862366,410.4500122,252.5015106,410.4500122,119.0574646,410.4500122,33.94036865
521.0200195,117.1790619,411.0599976,16.97024155,411.0599976,86.53283691,411.0599976,249.742569,411.0599976,117.9668655,411.0599976,33.86156464
521.4699707,108.7108078,411.5100098,17.09371758,411.5100098,85.13034821,411.5100098,247.0638733,411.5100098,116.2183228,411.5100098,33.72507858
522.0499878,102.1333008,411.9599915,16.51605988,411.9599915,84.38344574,411.9599915,245.1435547,411.9599915,116.4974289,411.9599915,33.02234268
522.5,96.21389008,412.5700073,16.62722588,412.5700073,83.46562195,412.5700073,242.8817902,412.5700073,114.0453568,412.5700073,32.90269089
522.9400024,90.77032471,413.0299988,16.5067997,413.0299988,82.95156097,413.0299988,238.5511017,413.0299988,113.2516785,413.0299988,31.99517822
523.5200195,84.83796692,413.480011,16.11047173,413.480011,82.64601135,413.480011,238.7204437,413.480011,112.2758255,413.480011,32.58641434
523.9699707,80.02198029,413.9299927,16.54037666,413.9299927,82.42944336,413.9299927,235.9531555,413.9299927,112.4604492,413.9299927,32.0713501
524.5499878,75.63637543,414.5400085,16.10797119,414.5400085,80.58169556,414.5400085,234.7145691,414.5400085,110.7782516,414.5400085,31.58533859
525,70.26100922,415,15.92080879,415,79.6502533,415,234.3350525,415,109.6010284,415,31.39702225
525.4400024,66.82785034,415.4500122,15.78315926,415.4500122,79.21001434,415.4500122,230.0087128,415.4500122,109.9627686,415.4500122,30.72979546
526.0200195,61.50162125,416.0599976,15.96514511,416.0599976,78.67282867,416.0599976,227.6916656,416.0599976,107.8994522,416.0599976,31.09482574
526.4699707,57.94316483,416.5100098,15.63536358,416.5100098,76.79704285,416.5100098,225.3450928,416.5100098,106.4870148,416.5100098,30.87471199
527.0499878,54.64161682,416.9599915,15.72145748,416.9599915,76.97341919,416.9599915,224.7801208,416.9599915,106.4867325,416.9599915,30.29219246
527.5,51.32368088,417.5700073,15.07226276,417.5700073,76.22802734,417.5700073,223.322876,417.5700073,105.2242355,417.5700073,30.13427353
527.9400024,48.78992844,418.0299988,15.33335972,418.0299988,76.64031982,418.0299988,221.0916748,418.0299988,104.7222443,418.0299988,29.8894825
528.5200195,44.8689003,418.480011,15.17956543,418.480011,76.81505585,418.480011,221.2493439,418.480011,104.5532227,418.480011,29.79097939
528.9699707,42.9107399,418.9299927,14.91431713,418.9299927,75.86949921,418.9299927,220.46698,418.9299927,104.5195007,418.9299927,29.49861717
529.5499878,39.57564163,419.5400085,15.14429474,419.5400085,74.78318787,419.5400085,219.4915009,419.5400085,103.7018051,419.5400085,29.37778664
530,37.46999359,420,15.01134109,420,75.64576721,420,217.4310913,420,102.228508,420,29.51156807
530.4400024,36.28749466,420.4599915,14.67952538,420.4599915,74.68826294,420.4599915,215.252243,420.4599915,102.5200653,420.4599915,29.09855652
531.039978,32.19437408,421.0700073,14.83985233,421.0700073,75.19228363,421.0700073,217.8412323,421.0700073,102.2863007,421.0700073,29.3280201
531.4899902,31.3817234,421.5299988,14.49995995,421.5299988,74.86805725,421.5299988,216.2550201,421.5299988,102.293045,421.5299988,29.29624176
531.9400024,29.90593147,422,14.4370079,422,74.59877777,422,215.6748199,422,102.2851334,422,28.96470451
532.5300293,27.96379852,422.4599915,14.6267395,422.4599915,73.27928925,422.4599915,214.1866608,422.4599915,101.4783859,422.4599915,28.87833405
532.9799805,26.10179901,423.0700073,14.53671551,423.0700073,73.03349304,423.0700073,211.7543335,423.0700073,100.4712067,423.0700073,28.40574646
533.4299927,25.31775093,423.5299988,14.49156761,423.5299988,72.76763916,423.5299988,211.9127655,423.5299988,99.6781311,423.5299988,28.71142006
534.0200195,23.20681763,424,14.51242924,424,72.96674347,424,211.1016693,424,100.1680679,424,28.65596581
534.4699707,22.16422462,424.4599915,14.41256428,424.4599915,72.7990036,424.4599915,209.9705658,424.4599915,99.96359253,424.4599915,28.26305771
535.0700073,20.85354042,425.0700073,14.26385307,425.0700073,72.71064758,425.0700073,209.7508087,425.0700073,99.27035522,425.0700073,28.53713799
535.5200195,19.0450592,425.5299988,14.29886627,425.5299988,71.9537735,425.5299988,209.3295746,425.5299988,98.9535141,425.5299988,28.05278206
535.9699707,18.24530602,426,14.28723335,426,71.58662415,426,208.4577942,426,98.97953033,426,28.4201088
536.5599976,17.43350601,426.4599915,14.26704597,426.4599915,71.72219086,426.4599915,207.8338928,426.4599915,98.29484558,426.4599915,28.06345177
537.0100098,16.26684761,427.0700073,14.27788925,427.0700073,71.48387909,427.0700073,206.9869843,427.0700073,98.39165497,427.0700073,28.20731926
537.460022,15.37657738,427.5299988,14.13786221,427.5299988,70.48642731,427.5299988,206.0971985,427.5299988,97.70343018,427.5299988,27.60435104
538.0499878,14.45609665,428,14.11001301,428,70.46652985,428,204.4429932,428,96.78999329,428,27.79907799
538.5,13.75800991,428.4599915,14.122756,428.4599915,70.56184387,428.4599915,205.3494873,428.4599915,96.82189941,428.4599915,27.69678497
538.9500122,13.15789509,429.0700073,13.8706398,429.0700073,70.25656891,429.0700073,202.5477142,429.0700073,96.14115906,429.0700073,27.54603577
539.5499878,11.4639082,429.5299988,14.08063698,429.5299988,69.47607422,429.5299988,201.76651,429.5299988,96.62873077,429.5299988,27.37103081
540,11.58885479,430,13.11561298,430,69.69705963,430,201.5519257,430,95.76631927,430,27.1885643
540.4400024,10.66517544,430.4500122,13.78620434,430.4500122,69.22944641,430.4500122,202.1163788,430.4500122,94.85267639,430.4500122,27.27312851
541.0200195,10.0531559,431.0599976,13.69017696,431.0599976,69.4670105,431.0599976,200.7573853,431.0599976,95.45284271,431.0599976,27.05365562
541.4699707,9.373797417,431.5100098,13.46091557,431.5100098,68.88355255,431.5100098,198.5915985,431.5100098,94.16098022,431.5100098,27.06226158
542.0499878,8.661417007,431.9599915,13.55149555,431.9599915,69.31891632,431.9599915,198.3960114,431.9599915,94.10244751,431.9599915,27.13479614
542.5,8.510507584,432.5700073,13.67893696,432.5700073,68.76770782,432.5700073,198.7569122,432.5700073,94.09907532,432.5700073,26.83995819
542.9400024,7.715396404,433.0299988,13.27211189,433.0299988,68.31105804,433.0299988,197.7988892,433.0299988,93.71609497,433.0299988,26.57656479
543.5200195,7.270330429,433.480011,13.63622761,433.480011,67.80979919,433.480011,197.2328339,433.480011,92.99699402,433.480011,26.58101463
543.9699707,6.898102283,433.9299927,13.35751152,433.9299927,67.79885864,433.9299927,195.8319397,433.9299927,94.50978851,433.9299927,26.61021423
544.5499878,6.608613014,434.5400085,13.42653179,434.5400085,67.72512054,434.5400085,196.256073,434.5400085,93.36606598,434.5400085,26.64631081
545,6.100640297,435,13.40019417,435,67.39990234,435,195.2903748,435,93.16564178,435,26.62009811
545.4400024,6.049358845,435.4500122,13.53623486,435.4500122,66.68325043,435.4500122,195.8820343,435.4500122,92.56998444,435.4500122,26.08882904
546.0200195,5.348654747,436.0599976,13.38266468,436.0599976,66.69303131,436.0599976,194.7313538,436.0599976,92.1757431,436.0599976,26.30784988
546.4699707,5.370795727,436.5100098,13.36885071,436.5100098,66.14440155,436.5100098,194.765686,436.5100098,91.64652252,436.5100098,26.1554985
547.0499878,4.907752514,436.9599915,12.99200916,436.9599915,66.56935883,436.9599915,192.8994751,436.9599915,91.34873199,436.9599915,26.35968971
547.5,4.662844181,437.5700073,13.30014038,437.5700073,66.12119293,437.5700073,192.6972046,437.5700073,91.76607513,437.5700073,26.07279587
547.9400024,4.304326534,438.0299988,13.0525465,438.0299988,65.71547699,438.0299988,192.1629944,438.0299988,90.56613159,438.0299988,26.1898365
548.5200195,4.075479507,438.480011,13.20780087,438.480011,66.05377197,438.480011,191.4234009,438.480011,90.85651398,438.480011,25.81404305
548.9699707,3.788468361,438.9299927,12.83617115,438.9299927,66.38204193,438.9299927,191.0771027,438.9299927,90.30532074,438.9299927,25.9172554
549.5499878,3.656064987,439.5400085,13.45990276,439.5400085,65.6151123,439.5400085,190.5675812,439.5400085,89.17189789,439.5400085,25.53233337
550,3.53335619,440,13.06538582,440,64.67930603,440,190.416626,440,91.22387695,440,25.75554657
550.4400024,3.152522087,440.4500122,13.03568459,440.4500122,66.11103058,440.4500122,190.8078613,440.4500122,90.31993866,440.4500122,26.03009033
551.039978,2.791494608,441.0599976,13.27356148,441.0599976,65.64970398,441.0599976,190.7263947,441.0599976,90.32117462,441.0599976,25.82663727
551.4899902,2.842928171,441.5100098,13.01352215,441.5100098,65.78347778,441.5100098,191.2029724,441.5100098,89.41181183,441.5100098,25.88604546
551.9400024,2.69577837,441.9599915,12.81242657,441.9599915,65.14434052,441.9599915,190.5627899,441.9599915,90.45170593,441.9599915,25.61508179
552.5300293,2.60387516,442.5700073,12.89737415,442.5700073,65.20068359,442.5700073,189.2251129,442.5700073,89.91539001,442.5700073,25.46428871
552.9799805,2.493485451,443.0299988,13.0601387,443.0299988,64.46509552,443.0299988,189.4237213,443.0299988,89.5471344,443.0299988,25.67507744
553.4299927,2.238314629,443.480011,12.708251,443.480011,64.35443878,443.480011,187.9771271,443.480011,89.02767944,443.480011,25.36607552
554.0200195,2.252892017,443.9299927,12.67887783,443.9299927,64.82336426,443.9299927,187.5897675,443.9299927,88.6116333,443.9299927,25.42723083
554.4699707,2.047447681,444.5400085,12.71657276,444.5400085,64.42848969,444.5400085,187.9424133,444.5400085,88.83732605,444.5400085,25.35423088
555.0700073,1.839898348,445,12.60460377,445,63.90909195,445,186.592041,445,89.17733002,445,25.38839722
555.5200195,1.729906678,445.4500122,12.74443817,445.4500122,64.17214203,445.4500122,185.5456543,445.4500122,88.83519745,445.4500122,25.50690651
555.9699707,1.614622951,446.0599976,13.02166843,446.0599976,63.88428879,446.0599976,186.3298187,446.0599976,88.73383331,446.0599976,25.42614365
556.5599976,1.553477526,446.5100098,12.76787281,446.5100098,64.22775269,446.5100098,185.8805237,446.5100098,88.57635498,446.5100098,25.27746582
557.0100098,1.607120752,446.9599915,12.82911873,446.9599915,64.70735168,446.9599915,187.0354309,446.9599915,88.66717529,446.9599915,25.36757278
557.460022,1.363766789,447.5700073,12.63033676,447.5700073,64.07641602,447.5700073,187.0769806,447.5700073,88.6051178,447.5700073,25.48389816
558.0499878,1.388557792,448.0299988,12.59701347,448.0299988,64.39454651,448.0299988,187.4238281,448.0299988,88.65409088,448.0299988,25.81609917
558.5,1.251176238,448.480011,12.66941166,448.480011,64.17222595,448.480011,187.0516815,448.480011,89.65802002,448.480011,25.77589607
558.9500122,1.296522975,448.9299927,12.47161102,448.9299927,64.27839661,448.9299927,187.3473358,448.9299927,89.09792328,448.9299927,25.14925194
559.5499878,1.195334077,449.5400085,12.78807735,449.5400085,62.85207748,449.5400085,186.191452,449.5400085,88.2052002,449.5400085,25.433218
560,1.086105108,450,12.52700615,450,64.287117,450,184.8432922,450,87.68226624,450,25.12873268
560.4400024,1.153150916,450.4500122,12.41549683,450.4500122,64.17230988,450.4500122,184.1034546,450.4500122,87.87711334,450.4500122,25.24023438
561.0200195,1.001199365,451.0599976,12.70017338,451.0599976,63.23526764,451.0599976,184.6145782,451.0599976,88.28255463,451.0599976,24.85321426
561.4699707,1.081392884,451.5100098,12.40183258,451.5100098,63.32897949,451.5100098,184.4317474,451.5100098,87.81726074,451.5100098,24.33568001
