TimeDelay	
-400.0000	0.0012740
-395.0000	0.0013224
-390.0000	0.0010150
-385.0000	0.0013312
-380.0000	0.0013805
-375.0000	0.0009950
-370.0000	0.0014045
-365.0000	0.0015514
-360.0000	0.0013929
-355.0000	0.0012732
-350.0000	0.0011379
-345.0000	0.0009534
-340.0000	0.0012016
-335.0000	0.0013100
-330.0000	0.0013749
-325.0000	0.0013685
-320.0000	0.0009742
-315.0000	0.0014057
-310.0000	0.0011451
-305.0000	0.0011927
-300.0000	0.0014701
-295.0000	0.0010995
-290.0000	0.0011487
-285.0000	0.0013308
-280.0000	0.0010194
-275.0000	0.0013801
-270.0000	0.0015158
-265.0000	0.0016370
-260.0000	0.0014713
-255.0000	0.0014169
-250.0000	0.0013168
-245.0000	0.0013336
-240.0000	0.0013653
-235.0000	0.0011671
-230.0000	0.0011339
-225.0000	0.0011203
-220.0000	0.0012792
-215.0000	0.0010467
-210.0000	0.0014997
-205.0000	0.0015822
-200.0000	0.0011607
-195.0000	0.0014789
-190.0000	0.0015130
-185.0000	0.0012360
-180.0000	0.0013641
-175.0000	0.0012956
-170.0000	0.0016639
-165.0000	0.0016823
-160.0000	0.0016510
-155.0000	0.0017607
-150.0000	0.0014857
-145.0000	0.0022987
-140.0000	0.0026601
-135.0000	0.0033994
-130.0000	0.0040954
-125.0000	0.0055652
-120.0000	0.0066195
-115.0000	0.0085587
-110.0000	0.0107753
-105.0000	0.0118536
-100.0000	0.0149088
-95.00000	0.0193641
-90.00000	0.0229844
-85.00000	0.0308255
-80.00000	0.0403020
-75.00000	0.0570241
-70.00000	0.0779148
-65.00000	0.1033688
-60.00000	0.1397652
-55.00000	0.1783725
-50.00000	0.2216245
-45.00000	0.2717034
-40.00000	0.3132287
-35.00000	0.3432406
-30.00000	0.3599354
-25.00000	0.3637887
-20.00000	0.3520131
-15.00000	0.3408687
-10.00000	0.3232456
-5.000000	0.3004973
0.0000000	0.2756744
5.0000000	0.2516156
10.000000	0.2163860
15.000000	0.1881901
20.000000	0.1556038
25.000000	0.1280724
30.000000	0.0979922
35.000000	0.0715827
40.000000	0.0497001
45.000000	0.0351039
50.000000	0.0246559
55.000000	0.0181597
60.000000	0.0137241
65.000000	0.0112112
70.000000	0.0088145
75.000000	0.0069064
80.000000	0.0058534
85.000000	0.0048179
90.000000	0.0036123
95.000000	0.0032697
100.00000	0.0026689
105.00000	0.0024844
110.00000	0.0022386
115.00000	0.0018148
120.00000	0.0020161
125.00000	0.0018372
130.00000	0.0017019
135.00000	0.0017759
140.00000	0.0013044
145.00000	0.0017539
150.00000	0.0011976
155.00000	0.0015638
160.00000	0.0015466
165.00000	0.0011215
170.00000	0.0015274
175.00000	0.0012796
180.00000	0.0012368
185.00000	0.0013789
190.00000	0.0015054
195.00000	0.0011523
200.00000	0.0014085
205.00000	0.0014949
210.00000	0.0015154
215.00000	0.0015054
220.00000	0.0015214
225.00000	0.0014493
230.00000	0.0014389
235.00000	0.0014565
240.00000	0.0010326
245.00000	0.0014125
250.00000	0.0016282
255.00000	0.0011951
260.00000	0.0012080
265.00000	0.0013833
270.00000	0.0014101
275.00000	0.0011583
280.00000	0.0013368
285.00000	0.0008521
290.00000	0.0013504
295.00000	0.0010210
300.00000	0.0009766
305.00000	0.0008577
310.00000	0.0009778
315.00000	0.0011755
320.00000	0.0014469
325.00000	0.0011988
330.00000	0.0012264
335.00000	0.0011891
340.00000	0.0010607
345.00000	0.0012672
350.00000	0.0014565
355.00000	0.0012168
360.00000	0.0012124
365.00000	0.0011699
370.00000	0.0012004
375.00000	0.0008061
380.00000	0.0013601
385.00000	0.0012168
390.00000	0.0011699
395.00000	0.0012776
400.00000	0.0010198
