Labels,Decay4,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,199.951170,
Step,0.048828,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.100E+1,
0.048828,1.100E+1,
0.097656,2.000E+1,
0.146484,2.000E+1,
0.195313,1.900E+1,
0.244141,1.800E+1,
0.292969,2.000E+1,
0.341797,2.100E+1,
0.390625,2.200E+1,
0.439453,2.000E+1,
0.488281,1.900E+1,
0.537109,1.400E+1,
0.585938,2.500E+1,
0.634766,2.000E+1,
0.683594,1.900E+1,
0.732422,3.000E+1,
0.781250,1.600E+1,
0.830078,1.700E+1,
0.878906,2.100E+1,
0.927734,2.100E+1,
0.976563,1.300E+1,
1.025391,1.700E+1,
1.074219,1.800E+1,
1.123047,8.000E+0,
1.171875,1.500E+1,
1.220703,2.000E+1,
1.269531,1.900E+1,
1.318359,1.900E+1,
1.367188,1.500E+1,
1.416016,2.500E+1,
1.464844,1.900E+1,
1.513672,3.300E+1,
1.56250,1.700E+1,
1.611328,1.800E+1,
1.660156,2.400E+1,
1.708984,3.000E+1,
1.757813,1.500E+1,
1.806641,2.900E+1,
1.855469,1.800E+1,
1.904297,1.100E+1,
1.953125,1.400E+1,
2.001953,9.000E+0,
2.050781,1.700E+1,
2.099609,1.600E+1,
2.148438,1.300E+1,
2.197266,1.000E+1,
2.246094,1.300E+1,
2.294922,1.000E+1,
2.343750,6.000E+0,
2.392578,9.000E+0,
2.441406,1.400E+1,
2.490234,1.300E+1,
2.539063,1.900E+1,
2.587891,2.000E+1,
2.636719,1.500E+1,
2.685547,2.000E+1,
2.734375,2.400E+1,
2.783203,2.200E+1,
2.832031,2.500E+1,
2.880859,2.300E+1,
2.929688,2.200E+1,
2.978516,2.600E+1,
3.027344,3.100E+1,
3.076172,2.400E+1,
3.1250,1.900E+1,
3.173828,1.500E+1,
3.222656,1.200E+1,
3.271484,1.600E+1,
3.320313,2.200E+1,
3.369141,1.000E+1,
3.417969,1.100E+1,
3.466797,9.000E+0,
3.515625,9.000E+0,
3.564453,4.000E+0,
3.613281,1.000E+1,
3.662109,6.000E+0,
3.710938,1.300E+1,
3.759766,9.000E+0,
3.808594,1.400E+1,
3.857422,1.600E+1,
3.906250,1.800E+1,
3.955078,1.400E+1,
4.003906,2.100E+1,
4.052734,2.600E+1,
4.101563,4.400E+1,
4.150391,5.000E+1,
4.199219,4.900E+1,
4.248047,6.700E+1,
4.296875,5.700E+1,
4.345703,5.300E+1,
4.394531,5.400E+1,
4.443359,6.700E+1,
4.492188,5.400E+1,
4.541016,5.400E+1,
4.589844,4.400E+1,
4.638672,2.800E+1,
4.68750,2.800E+1,
4.736328,2.000E+1,
4.785156,1.500E+1,
4.833984,1.100E+1,
4.882813,1.500E+1,
4.931641,5.000E+0,
4.980469,5.000E+0,
5.029297,7.000E+0,
5.078125,3.000E+0,
5.126953,9.000E+0,
5.175781,1.000E+1,
5.224609,1.200E+1,
5.273438,6.000E+0,
5.322266,4.000E+0,
5.371094,1.400E+1,
5.419922,1.400E+1,
5.468750,2.700E+1,
5.517578,3.200E+1,
5.566406,3.900E+1,
5.615234,4.100E+1,
5.664063,3.500E+1,
5.712891,4.700E+1,
5.761719,3.500E+1,
5.810547,2.600E+1,
5.859375,2.000E+1,
5.908203,2.400E+1,
5.957031,2.000E+1,
6.005859,1.700E+1,
6.054688,1.800E+1,
6.103516,1.500E+1,
6.152344,1.700E+1,
6.201172,1.800E+1,
6.250,7.000E+0,
6.298828,2.300E+1,
6.347656,9.000E+0,
6.396484,1.700E+1,
6.445313,1.700E+1,
6.494141,1.100E+1,
6.542969,1.700E+1,
6.591797,1.800E+1,
6.640625,8.000E+0,
6.689453,9.000E+0,
6.738281,8.000E+0,
6.787109,1.000E+1,
6.835938,6.000E+0,
6.884766,7.000E+0,
6.933594,1.100E+1,
6.982422,9.000E+0,
7.031250,1.400E+1,
7.080078,1.200E+1,
7.128906,1.500E+1,
7.177734,2.000E+1,
7.226563,1.900E+1,
7.275391,2.600E+1,
7.324219,4.200E+1,
7.373047,4.500E+1,
7.421875,3.300E+1,
7.470703,4.300E+1,
7.519531,4.700E+1,
7.568359,6.200E+1,
7.617188,4.700E+1,
7.666016,5.100E+1,
7.714844,4.700E+1,
7.763672,4.100E+1,
7.81250,3.700E+1,
7.861328,3.300E+1,
7.910156,2.800E+1,
7.958984,1.800E+1,
8.007813,8.000E+0,
8.056641,8.000E+0,
8.105469,1.000E+1,
8.154297,7.000E+0,
8.203125,9.000E+0,
8.251953,6.000E+0,
8.300781,1.100E+1,
8.349609,8.000E+0,
8.398438,1.000E+1,
8.447266,1.100E+1,
8.496094,1.100E+1,
8.544922,6.000E+0,
8.593750,1.600E+1,
8.642578,1.500E+1,
8.691406,1.300E+1,
8.740234,1.900E+1,
8.789063,1.800E+1,
8.837891,2.800E+1,
8.886719,2.700E+1,
8.935547,3.900E+1,
8.984375,2.800E+1,
9.033203,2.800E+1,
9.082031,3.200E+1,
9.130859,2.400E+1,
9.179688,2.900E+1,
9.228516,2.500E+1,
9.277344,2.200E+1,
9.326172,1.700E+1,
9.3750,1.700E+1,
9.423828,2.300E+1,
9.472656,2.000E+1,
9.521484,1.300E+1,
9.570313,2.400E+1,
9.619141,1.300E+1,
9.667969,1.600E+1,
9.716797,7.000E+0,
9.765625,1.400E+1,
9.814453,1.300E+1,
9.863281,1.800E+1,
9.912109,6.000E+0,
9.960938,4.000E+0,
10.009766,8.000E+0,
10.058594,8.000E+0,
10.107422,1.000E+1,
10.156250,9.000E+0,
10.205078,1.100E+1,
10.253906,9.000E+0,
10.302734,7.000E+0,
10.351563,5.000E+0,
10.400391,1.000E+1,
10.449219,1.300E+1,
10.498047,2.400E+1,
10.546875,2.000E+1,
10.59570,2.300E+1,
10.644531,2.500E+1,
10.693359,1.900E+1,
10.742188,1.600E+1,
10.791016,3.300E+1,
10.839844,3.500E+1,
10.888672,2.000E+1,
10.93750,3.100E+1,
10.986328,2.100E+1,
11.035156,2.700E+1,
11.083984,2.200E+1,
11.132813,1.800E+1,
11.181641,1.500E+1,
11.230469,1.100E+1,
11.27930,7.000E+0,
11.328125,5.000E+0,
11.376953,6.000E+0,
11.425781,3.000E+0,
11.474609,6.000E+0,
11.523438,4.000E+0,
11.572266,9.000E+0,
11.621094,1.300E+1,
11.669922,1.200E+1,
11.718750,1.300E+1,
11.767578,1.600E+1,
11.816406,2.100E+1,
11.865234,2.400E+1,
11.914063,2.800E+1,
11.962891,3.300E+1,
12.011719,4.600E+1,
12.060547,5.200E+1,
12.109375,4.900E+1,
12.15820,4.800E+1,
12.207031,6.000E+1,
12.255859,4.700E+1,
12.304688,7.900E+1,
12.353516,6.500E+1,
12.402344,8.900E+1,
12.451172,9.100E+1,
12.50,1.340E+2,
12.548828,1.980E+2,
12.597656,2.410E+2,
12.646484,3.320E+2,
12.695313,5.080E+2,
12.744141,8.770E+2,
12.792969,1.660E+3,
12.84180,2.840E+3,
12.890625,4.304E+3,
12.939453,5.687E+3,
12.988281,6.403E+3,
13.037109,7.089E+3,
13.085938,7.797E+3,
13.134766,8.158E+3,
13.183594,8.678E+3,
13.232422,9.155E+3,
13.281250,9.469E+3,
13.330078,9.685E+3,
13.378906,9.819E+3,
13.427734,9.916E+3,
13.476563,9.871E+3,
13.525391,9.945E+3,
13.574219,9.912E+3,
13.623047,9.995E+3,
13.671875,1.000E+4,
13.72070,9.763E+3,
13.769531,9.885E+3,
13.818359,9.677E+3,
13.867188,9.783E+3,
13.916016,9.542E+3,
13.964844,9.545E+3,
14.013672,9.621E+3,
14.06250,9.328E+3,
14.111328,9.278E+3,
14.160156,9.139E+3,
14.208984,9.157E+3,
14.257813,9.112E+3,
14.306641,8.755E+3,
14.355469,8.725E+3,
14.40430,8.843E+3,
14.453125,8.739E+3,
14.501953,8.647E+3,
14.550781,8.730E+3,
14.599609,8.555E+3,
14.648438,8.446E+3,
14.697266,8.299E+3,
14.746094,8.138E+3,
14.794922,8.183E+3,
14.843750,8.133E+3,
14.892578,7.987E+3,
14.941406,7.764E+3,
14.990234,7.683E+3,
15.039063,7.816E+3,
15.087891,7.571E+3,
15.136719,7.547E+3,
15.185547,7.514E+3,
15.234375,7.345E+3,
15.28320,7.410E+3,
15.332031,7.288E+3,
15.380859,7.246E+3,
15.429688,7.295E+3,
15.478516,7.016E+3,
15.527344,6.926E+3,
15.576172,6.964E+3,
15.6250,6.798E+3,
15.673828,6.818E+3,
15.722656,6.867E+3,
15.771484,6.763E+3,
15.820313,6.619E+3,
15.869141,6.633E+3,
15.917969,6.358E+3,
15.96680,6.582E+3,
16.015625,6.482E+3,
16.064453,6.406E+3,
16.113281,6.388E+3,
16.162109,6.303E+3,
16.210938,6.221E+3,
16.259766,6.298E+3,
16.308594,5.988E+3,
16.357422,6.072E+3,
16.406250,5.977E+3,
16.455078,5.921E+3,
16.503906,5.852E+3,
16.552734,5.930E+3,
16.601563,5.835E+3,
16.650391,5.645E+3,
16.699219,5.771E+3,
16.748047,5.553E+3,
16.796875,5.678E+3,
16.84570,5.451E+3,
16.894531,5.502E+3,
16.943359,5.356E+3,
16.992188,5.428E+3,
17.041016,5.323E+3,
17.089844,5.413E+3,
17.138672,5.307E+3,
17.18750,5.317E+3,
17.236328,5.089E+3,
17.285156,5.067E+3,
17.333984,5.098E+3,
