TimeDelay	
-700.0000	0.0018668
-695.0000	0.0019672
-690.0000	0.0022446
-685.0000	0.0025648
-680.0000	0.0022418
-675.0000	0.0022646
-670.0000	0.0023891
-665.0000	0.0021730
-660.0000	0.0022506
-655.0000	0.0024488
-650.0000	0.0025408
-645.0000	0.0023851
-640.0000	0.0023403
-635.0000	0.0024636
-630.0000	0.0026005
-625.0000	0.0026077
-620.0000	0.0021690
-615.0000	0.0024047
-610.0000	0.0024227
-605.0000	0.0024800
-600.0000	0.0025452
-595.0000	0.0024884
-590.0000	0.0026501
-585.0000	0.0027874
-580.0000	0.0027902
-575.0000	0.0028158
-570.0000	0.0028906
-565.0000	0.0028426
-560.0000	0.0030235
-555.0000	0.0032145
-550.0000	0.0034130
-545.0000	0.0034966
-540.0000	0.0035058
-535.0000	0.0034686
-530.0000	0.0037396
-525.0000	0.0034290
-520.0000	0.0037424
-515.0000	0.0040430
-510.0000	0.0038245
-505.0000	0.0037964
-500.0000	0.0038649
-495.0000	0.0039753
-490.0000	0.0044953
-485.0000	0.0043944
-480.0000	0.0047042
-475.0000	0.0047551
-470.0000	0.0046294
-465.0000	0.0048343
-460.0000	0.0048655
-455.0000	0.0053410
-450.0000	0.0052290
-445.0000	0.0053050
-440.0000	0.0052822
-435.0000	0.0055552
-430.0000	0.0057277
-425.0000	0.0055127
-420.0000	0.0057505
-415.0000	0.0061139
-410.0000	0.0059014
-405.0000	0.0061584
-400.0000	0.0067107
-395.0000	0.0066747
-390.0000	0.0066627
-385.0000	0.0069273
-380.0000	0.0073415
-375.0000	0.0075312
-370.0000	0.0078394
-365.0000	0.0079563
-360.0000	0.0081721
-355.0000	0.0078883
-350.0000	0.0079511
-345.0000	0.0079071
-340.0000	0.0084166
-335.0000	0.0084346
-330.0000	0.0084546
-325.0000	0.0083734
-320.0000	0.0085551
-315.0000	0.0084342
-310.0000	0.0084943
-305.0000	0.0087208
-300.0000	0.0086532
-295.0000	0.0085923
-290.0000	0.0088545
-285.0000	0.0089942
-280.0000	0.0089970
-275.0000	0.0094709
-270.0000	0.0096630
-265.0000	0.0100849
-260.0000	0.0100097
-255.0000	0.0101257
-250.0000	0.0109851
-245.0000	0.0111376
-240.0000	0.0113341
-235.0000	0.0118564
-230.0000	0.0123003
-225.0000	0.0119809
-220.0000	0.0129908
-215.0000	0.0124048
-210.0000	0.0131649
-205.0000	0.0127895
-200.0000	0.0137585
-195.0000	0.0133110
-190.0000	0.0134379
-185.0000	0.0137929
-180.0000	0.0141407
-175.0000	0.0138846
-170.0000	0.0137709
-165.0000	0.0139818
-160.0000	0.0140519
-155.0000	0.0146190
-150.0000	0.0149160
-145.0000	0.0153559
-140.0000	0.0157173
-135.0000	0.0165267
-130.0000	0.0178647
-125.0000	0.0187129
-120.0000	0.0205625
-115.0000	0.0217993
-110.0000	0.0242309
-105.0000	0.0261073
-100.0000	0.0292733
-95.00000	0.0327900
-90.00000	0.0374298
-85.00000	0.0429225
-80.00000	0.0507988
-75.00000	0.0601917
-70.00000	0.0717000
-65.00000	0.0854204
-60.00000	0.1007219
-55.00000	0.1157556
-50.00000	0.1307521
-45.00000	0.1460793
-40.00000	0.1613479
-35.00000	0.1754707
-30.00000	0.1844429
-25.00000	0.1884062
-20.00000	0.1890050
-15.00000	0.1808173
-10.00000	0.1812984
-5.000000	0.1715045
0.0000000	0.1665381
5.0000000	0.1547813
10.000000	0.1469666
15.000000	0.1335556
20.000000	0.1233061
25.000000	0.1091101
30.000000	0.0938951
35.000000	0.0804912
40.000000	0.0672791
45.000000	0.0550680
50.000000	0.0453181
55.000000	0.0371152
60.000000	0.0298041
65.000000	0.0255965
70.000000	0.0214394
75.000000	0.0184211
80.000000	0.0169630
85.000000	0.0154464
90.000000	0.0149817
95.000000	0.0141035
100.00000	0.0138950
105.00000	0.0132201
110.00000	0.0133658
115.00000	0.0125301
120.00000	0.0130484
125.00000	0.0124540
130.00000	0.0121662
135.00000	0.0126574
140.00000	0.0127058
145.00000	0.0123264
150.00000	0.0124776
155.00000	0.0121146
160.00000	0.0126165
165.00000	0.0128471
170.00000	0.0126894
175.00000	0.0118216
180.00000	0.0112276
185.00000	0.0114342
190.00000	0.0107109
195.00000	0.0107353
200.00000	0.0107898
205.00000	0.0100217
210.00000	0.0101173
215.00000	0.0094289
220.00000	0.0096046
225.00000	0.0087348
230.00000	0.0090839
235.00000	0.0091023
240.00000	0.0084138
245.00000	0.0085299
250.00000	0.0082473
255.00000	0.0085367
260.00000	0.0085167
265.00000	0.0083814
270.00000	0.0083554
275.00000	0.0082033
280.00000	0.0082505
285.00000	0.0082185
290.00000	0.0082089
295.00000	0.0082777
300.00000	0.0081484
305.00000	0.0080152
310.00000	0.0076217
315.00000	0.0079151
320.00000	0.0077590
325.00000	0.0080260
330.00000	0.0076894
335.00000	0.0076013
340.00000	0.0069541
345.00000	0.0075841
350.00000	0.0072539
355.00000	0.0072178
360.00000	0.0065662
365.00000	0.0065370
370.00000	0.0062472
375.00000	0.0060647
380.00000	0.0062208
385.00000	0.0056877
390.00000	0.0054663
395.00000	0.0054683
400.00000	0.0054047
405.00000	0.0053370
410.00000	0.0052001
415.00000	0.0055051
420.00000	0.0052045
425.00000	0.0052514
430.00000	0.0051109
435.00000	0.0052045
440.00000	0.0048003
445.00000	0.0048255
450.00000	0.0048943
455.00000	0.0048315
460.00000	0.0046238
465.00000	0.0046014
470.00000	0.0042087
475.00000	0.0043152
480.00000	0.0039749
485.00000	0.0040490
490.00000	0.0038509
495.00000	0.0037664
500.00000	0.0035347
505.00000	0.0035747
510.00000	0.0034994
515.00000	0.0030964
520.00000	0.0034282
525.00000	0.0031092
530.00000	0.0032441
535.00000	0.0031264
540.00000	0.0027654
545.00000	0.0028062
550.00000	0.0027149
555.00000	0.0026941
560.00000	0.0028770
565.00000	0.0025552
570.00000	0.0026261
575.00000	0.0026669
580.00000	0.0028754
585.00000	0.0024480
590.00000	0.0025512
595.00000	0.0028114
600.00000	0.0026709
605.00000	0.0024636
610.00000	0.0025696
615.00000	0.0026885
620.00000	0.0022250
625.00000	0.0024472
630.00000	0.0027470
635.00000	0.0027077
640.00000	0.0025080
645.00000	0.0026429
650.00000	0.0019524
655.00000	0.0026213
660.00000	0.0022346
665.00000	0.0023095
670.00000	0.0024396
675.00000	0.0019893
680.00000	0.0022370
685.00000	0.0020493
690.00000	0.0019248
695.00000	0.0021290
700.00000	0.0019977
