Unit Serial No : EM0P1805-EU
Integration Time : 30 ms
Time Average: 1
Binning Average: 1
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0003
Measurement No : 1
Measurement Time : 05/29/2014   15:45:22

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
350.0000      	28571.4286    	2451.33325    
350.5000      	28530.6705    	2479.66675    
351.0000      	28490.0285    	2488.33325    
351.5000      	28449.5021    	2479.66675    
352.0000      	28409.0909    	2478.33325    
352.5000      	28368.7943    	2474.33325    
353.0000      	28328.6119    	2450.66675    
353.5000      	28288.5431    	2376.33325    
354.0000      	28248.5876    	2369.66675    
354.5000      	28208.7447    	2385.00000    
355.0000      	28169.0141    	2439.00000    
355.5000      	28129.3952    	2455.66675    
356.0000      	28089.8876    	2478.00000    
356.5000      	28050.4909    	2484.66675    
357.0000      	28011.2045    	2413.00000    
357.5000      	27972.0280    	2387.66675    
358.0000      	27932.9609    	2398.00000    
358.5000      	27894.0028    	2376.33325    
359.0000      	27855.1532    	2358.00000    
359.5000      	27816.4117    	2383.66675    
360.0000      	27777.7778    	2443.00000    
360.5000      	27739.2510    	2539.66675    
361.0000      	27700.8310    	2530.00000    
361.5000      	27662.5173    	2501.33325    
362.0000      	27624.3094    	2456.66675    
362.5000      	27586.2069    	2385.66675    
363.0000      	27548.2094    	2389.00000    
363.5000      	27510.3164    	2375.00000    
364.0000      	27472.5275    	2403.66675    
364.5000      	27434.8422    	2456.66675    
365.0000      	27397.2603    	2523.33325    
365.5000      	27359.7811    	2542.00000    
366.0000      	27322.4044    	2549.66675    
366.5000      	27285.1296    	2485.33325    
367.0000      	27247.9564    	2439.00000    
367.5000      	27210.8844    	2407.33325    
368.0000      	27173.9130    	2415.66675    
368.5000      	27137.0421    	2430.00000    
369.0000      	27100.2710    	2430.00000    
369.5000      	27063.5995    	2461.66675    
370.0000      	27027.0270    	2503.00000    
370.5000      	26990.5533    	2496.33325    
371.0000      	26954.1779    	2488.66675    
371.5000      	26917.9004    	2487.00000    
372.0000      	26881.7204    	2431.00000    
372.5000      	26845.6376    	2407.66675    
373.0000      	26809.6515    	2395.00000    
373.5000      	26773.7617    	2408.00000    
374.0000      	26737.9679    	2471.33325    
374.5000      	26702.2697    	2476.66675    
375.0000      	26666.6667    	2480.66675    
375.5000      	26631.1585    	2515.66675    
376.0000      	26595.7447    	2546.33325    
376.5000      	26560.4250    	2531.33325    
377.0000      	26525.1989    	2506.00000    
377.5000      	26490.0662    	2434.33325    
378.0000      	26455.0265    	2465.66675    
378.5000      	26420.0793    	2493.66675    
379.0000      	26385.2243    	2527.66675    
379.5000      	26350.4611    	2546.33325    
380.0000      	26315.7895    	2559.66675    
380.5000      	26281.2089    	2556.33325    
381.0000      	26246.7192    	2524.00000    
381.5000      	26212.3198    	2438.33325    
382.0000      	26178.0105    	2418.66675    
382.5000      	26143.7908    	2411.66675    
383.0000      	26109.6606    	2414.66675    
383.5000      	26075.6193    	2459.66675    
384.0000      	26041.6667    	2481.00000    
384.5000      	26007.8023    	2469.33325    
385.0000      	25974.0260    	2440.66675    
385.5000      	25940.3372    	2446.66675    
386.0000      	25906.7358    	2443.00000    
386.5000      	25873.2212    	2447.00000    
387.0000      	25839.7933    	2427.66675    
387.5000      	25806.4516    	2431.66675    
388.0000      	25773.1959    	2439.00000    
388.5000      	25740.0257    	2399.33325    
389.0000      	25706.9409    	2463.33325    
389.5000      	25673.9409    	2532.00000    
390.0000      	25641.0256    	2554.66675    
390.5000      	25608.1946    	2513.00000    
391.0000      	25575.4476    	2482.33325    
391.5000      	25542.7842    	2467.00000    
392.0000      	25510.2041    	2453.66675    
392.5000      	25477.7070    	2440.00000    
393.0000      	25445.2926    	2455.00000    
393.5000      	25412.9606    	2478.33325    
394.0000      	25380.7107    	2498.66675    
394.5000      	25348.5425    	2502.66675    
395.0000      	25316.4557    	2465.66675    
395.5000      	25284.4501    	2450.33325    
396.0000      	25252.5253    	2461.66675    
396.5000      	25220.6810    	2504.66675    
397.0000      	25188.9169    	2511.66675    
397.5000      	25157.2327    	2501.33325    
398.0000      	25125.6281    	2504.66675    
398.5000      	25094.1029    	2618.66675    
399.0000      	25062.6566    	2672.00000    
399.5000      	25031.2891    	2691.00000    
400.0000      	25000.0000    	2728.66675    
400.5000      	24968.7890    	2896.66675    
401.0000      	24937.6559    	3050.33325    
401.5000      	24906.6002    	3313.33325    
402.0000      	24875.6219    	3813.66675    
402.5000      	24844.7205    	5780.33350    
403.0000      	24813.8958    	7492.00000    
403.5000      	24783.1475    	9825.33301    
404.0000      	24752.4752    	12790.33301   
404.5000      	24721.8789    	20464.00000   
405.0000      	24691.3580    	24551.66602   
405.5000      	24660.9125    	28325.00000   
406.0000      	24630.5419    	31750.00000   
406.5000      	24600.2460    	38363.66797   
407.0000      	24570.0246    	41340.66797   
407.5000      	24539.8773    	43389.33203   
408.0000      	24509.8039    	44387.66797   
408.5000      	24479.8042    	42872.00000   
409.0000      	24449.8778    	40628.00000   
409.5000      	24420.0244    	37971.66797   
410.0000      	24390.2439    	35317.66797   
410.5000      	24360.5359    	29284.33398   
411.0000      	24330.9002    	25278.00000   
411.5000      	24301.3366    	21075.66602   
412.0000      	24271.8447    	17231.66602   
412.5000      	24242.4242    	11122.66699   
413.0000      	24213.0751    	8877.66699    
413.5000      	24183.7969    	7171.66650    
414.0000      	24154.5894    	5868.33350    
414.5000      	24125.4524    	4022.00000    
415.0000      	24096.3855    	3435.66675    
415.5000      	24067.3887    	3070.33325    
416.0000      	24038.4615    	2840.33325    
416.5000      	24009.6038    	2574.00000    
417.0000      	23980.8153    	2516.00000    
417.5000      	23952.0958    	2499.00000    
418.0000      	23923.4450    	2501.33325    
418.5000      	23894.8626    	2485.00000    
419.0000      	23866.3484    	2453.66675    
419.5000      	23837.9023    	2403.33325    
420.0000      	23809.5238    	2389.33325    
420.5000      	23781.2128    	2419.33325    
421.0000      	23752.9691    	2434.66675    
421.5000      	23724.7924    	2431.66675    
422.0000      	23696.6825    	2464.66675    
422.5000      	23668.6391    	2507.33325    
423.0000      	23640.6619    	2500.33325    
423.5000      	23612.7509    	2490.00000    
424.0000      	23584.9057    	2493.66675    
424.5000      	23557.1260    	2509.33325    
425.0000      	23529.4118    	2459.33325    
425.5000      	23501.7626    	2415.66675    
426.0000      	23474.1784    	2429.00000    
426.5000      	23446.6589    	2487.33325    
427.0000      	23419.2037    	2512.00000    
427.5000      	23391.8129    	2546.00000    
428.0000      	23364.4860    	2520.33325    
428.5000      	23337.2229    	2457.33325    
429.0000      	23310.0233    	2456.33325    
429.5000      	23282.8871    	2457.66675    
430.0000      	23255.8140    	2434.66675    
430.5000      	23228.8037    	2395.00000    
431.0000      	23201.8561    	2412.00000    
431.5000      	23174.9710    	2427.00000    
432.0000      	23148.1481    	2455.66675    
432.5000      	23121.3873    	2506.33325    
433.0000      	23094.6882    	2490.66675    
433.5000      	23068.0507    	2475.33325    
434.0000      	23041.4747    	2483.33325    
434.5000      	23014.9597    	2471.66675    
435.0000      	22988.5057    	2421.66675    
435.5000      	22962.1125    	2425.33325    
436.0000      	22935.7798    	2454.66675    
436.5000      	22909.5074    	2573.00000    
437.0000      	22883.2952    	2602.00000    
437.5000      	22857.1429    	2574.33325    
438.0000      	22831.0502    	2530.33325    
438.5000      	22805.0171    	2442.33325    
439.0000      	22779.0433    	2446.33325    
439.5000      	22753.1286    	2438.00000    
440.0000      	22727.2727    	2434.66675    
440.5000      	22701.4756    	2409.33325    
441.0000      	22675.7370    	2426.00000    
441.5000      	22650.0566    	2475.66675    
442.0000      	22624.4344    	2506.00000    
442.5000      	22598.8701    	2484.66675    
443.0000      	22573.3634    	2438.00000    
443.5000      	22547.9143    	2411.33325    
444.0000      	22522.5225    	2402.00000    
444.5000      	22497.1879    	2443.00000    
445.0000      	22471.9101    	2423.33325    
445.5000      	22446.6891    	2427.00000    
446.0000      	22421.5247    	2456.33325    
446.5000      	22396.4166    	2509.00000    
447.0000      	22371.3647    	2500.33325    
447.5000      	22346.3687    	2506.66675    
448.0000      	22321.4286    	2482.66675    
448.5000      	22296.5440    	2471.33325    
449.0000      	22271.7149    	2425.33325    
449.5000      	22246.9410    	2425.66675    
450.0000      	22222.2222    	2437.66675    
450.5000      	22197.5583    	2494.33325    
451.0000      	22172.9490    	2540.66675    
451.5000      	22148.3942    	2513.66675    
452.0000      	22123.8938    	2515.33325    
452.5000      	22099.4475    	2525.00000    
453.0000      	22075.0552    	2498.00000    
453.5000      	22050.7166    	2442.00000    
454.0000      	22026.4317    	2420.33325    
454.5000      	22002.2002    	2398.66675    
455.0000      	21978.0220    	2404.66675    
455.5000      	21953.8968    	2423.66675    
456.0000      	21929.8246    	2460.33325    
456.5000      	21905.8050    	2486.00000    
457.0000      	21881.8381    	2510.66675    
457.5000      	21857.9235    	2496.00000    
458.0000      	21834.0611    	2510.33325    
458.5000      	21810.2508    	2455.66675    
459.0000      	21786.4924    	2391.33325    
459.5000      	21762.7856    	2395.00000    
460.0000      	21739.1304    	2416.66675    
460.5000      	21715.5266    	2443.66675    
461.0000      	21691.9740    	2464.00000    
461.5000      	21668.4724    	2505.66675    
462.0000      	21645.0216    	2531.66675    
462.5000      	21621.6216    	2536.00000    
463.0000      	21598.2721    	2502.00000    
463.5000      	21574.9730    	2409.66675    
464.0000      	21551.7241    	2388.66675    
464.5000      	21528.5253    	2379.66675    
465.0000      	21505.3763    	2409.66675    
465.5000      	21482.2771    	2496.00000    
466.0000      	21459.2275    	2506.00000    
466.5000      	21436.2272    	2533.00000    
467.0000      	21413.2762    	2545.00000    
467.5000      	21390.3743    	2455.33325    
468.0000      	21367.5214    	2414.33325    
468.5000      	21344.7172    	2417.00000    
469.0000      	21321.9616    	2424.00000    
469.5000      	21299.2545    	2446.66675    
470.0000      	21276.5957    	2475.00000    
