Unit Serial No : EM0P1805-EU
Integration Time : 30 ms
Time Average: 1
Binning Average: 1
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0003
Measurement No : 1
Measurement Time : 05/29/2014   15:45:22

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
470.5000      	21253.9851    	2494.66675    
471.0000      	21231.4225    	2506.66675    
471.5000      	21208.9077    	2545.66675    
472.0000      	21186.4407    	2536.66675    
472.5000      	21164.0212    	2482.00000    
473.0000      	21141.6490    	2466.33325    
473.5000      	21119.3242    	2454.00000    
474.0000      	21097.0464    	2476.00000    
474.5000      	21074.8156    	2486.33325    
475.0000      	21052.6316    	2478.66675    
475.5000      	21030.4942    	2481.66675    
476.0000      	21008.4034    	2559.00000    
476.5000      	20986.3589    	2595.33325    
477.0000      	20964.3606    	2599.00000    
477.5000      	20942.4084    	2561.66675    
478.0000      	20920.5021    	2457.33325    
478.5000      	20898.6416    	2448.00000    
479.0000      	20876.8267    	2463.66675    
479.5000      	20855.0574    	2488.00000    
480.0000      	20833.3333    	2520.66675    
480.5000      	20811.6545    	2592.66675    
481.0000      	20790.0208    	2612.66675    
481.5000      	20768.4320    	2624.66675    
482.0000      	20746.8880    	2602.00000    
482.5000      	20725.3886    	2585.00000    
483.0000      	20703.9337    	2570.66675    
483.5000      	20682.5233    	2543.66675    
484.0000      	20661.1570    	2500.33325    
484.5000      	20639.8349    	2548.66675    
485.0000      	20618.5567    	2607.33325    
485.5000      	20597.3223    	2635.66675    
486.0000      	20576.1317    	2622.00000    
486.5000      	20554.9846    	2629.00000    
487.0000      	20533.8809    	2607.66675    
487.5000      	20512.8205    	2581.00000    
488.0000      	20491.8033    	2528.00000    
488.5000      	20470.8291    	2525.00000    
489.0000      	20449.8978    	2562.66675    
489.5000      	20429.0092    	2572.33325    
490.0000      	20408.1633    	2589.66675    
490.5000      	20387.3598    	2609.66675    
491.0000      	20366.5988    	2726.66675    
491.5000      	20345.8800    	2749.00000    
492.0000      	20325.2033    	2736.00000    
492.5000      	20304.5685    	2737.66675    
493.0000      	20283.9757    	2733.00000    
493.5000      	20263.4245    	2731.33325    
494.0000      	20242.9150    	2723.33325    
494.5000      	20222.4469    	2758.33325    
495.0000      	20202.0202    	2799.33325    
495.5000      	20181.6347    	2927.33325    
496.0000      	20161.2903    	2988.33325    
496.5000      	20140.9869    	3041.66675    
497.0000      	20120.7243    	3068.66675    
497.5000      	20100.5025    	3291.33325    
498.0000      	20080.3213    	3544.00000    
498.5000      	20060.1805    	3818.00000    
499.0000      	20040.0802    	4086.66675    
499.5000      	20020.0200    	4329.00000    
500.0000      	20000.0000    	4881.66650    
500.5000      	19980.0200    	5201.66650    
501.0000      	19960.0798    	5563.33350    
501.5000      	19940.1795    	5898.66650    
502.0000      	19920.3187    	6519.66650    
502.5000      	19900.4975    	6882.66650    
503.0000      	19880.7157    	7330.33350    
503.5000      	19860.9732    	7762.33350    
504.0000      	19841.2698    	8228.00000    
504.5000      	19821.6056    	9199.33301    
505.0000      	19801.9802    	9628.00000    
505.5000      	19782.3937    	10064.33301   
506.0000      	19762.8458    	10490.66699   
506.5000      	19743.3366    	11436.33301   
507.0000      	19723.8659    	11992.00000   
507.5000      	19704.4335    	12764.66699   
508.0000      	19685.0394    	13735.66699   
508.5000      	19665.6834    	14911.33301   
509.0000      	19646.3654    	17530.33398   
509.5000      	19627.0854    	18960.66602   
510.0000      	19607.8431    	20529.00000   
510.5000      	19588.6386    	22269.66602   
511.0000      	19569.4716    	26158.00000   
511.5000      	19550.3421    	28281.33398   
512.0000      	19531.2500    	30079.66602   
512.5000      	19512.1951    	31634.33398   
513.0000      	19493.1774    	34221.66797   
513.5000      	19474.1967    	35386.33203   
514.0000      	19455.2529    	36480.66797   
514.5000      	19436.3460    	37479.66797   
515.0000      	19417.4757    	38159.00000   
515.5000      	19398.6421    	38468.33203   
516.0000      	19379.8450    	38091.33203   
516.5000      	19361.0842    	37334.00000   
517.0000      	19342.3598    	36484.33203   
517.5000      	19323.6715    	34694.66797   
518.0000      	19305.0193    	33663.33203   
518.5000      	19286.4031    	32237.66602   
519.0000      	19267.8227    	30429.33398   
519.5000      	19249.2782    	28206.66602   
520.0000      	19230.7692    	24175.33398   
520.5000      	19212.2959    	22297.00000   
521.0000      	19193.8580    	20481.00000   
521.5000      	19175.4554    	18782.00000   
522.0000      	19157.0881    	15733.66699   
522.5000      	19138.7560    	14264.66699   
523.0000      	19120.4589    	12845.33301   
523.5000      	19102.1968    	11570.33301   
524.0000      	19083.9695    	10454.00000   
524.5000      	19065.7769    	8638.66699    
525.0000      	19047.6190    	7865.00000    
525.5000      	19029.4957    	7207.33350    
526.0000      	19011.4068    	6594.66650    
526.5000      	18993.3523    	6041.00000    
527.0000      	18975.3321    	5318.66650    
527.5000      	18957.3460    	5120.33350    
528.0000      	18939.3939    	4890.66650    
528.5000      	18921.4759    	4641.33350    
529.0000      	18903.5917    	4220.66650    
529.5000      	18885.7413    	4022.00000    
530.0000      	18867.9245    	3776.33325    
530.5000      	18850.1414    	3555.00000    
531.0000      	18832.3917    	3356.00000    
531.5000      	18814.6754    	3051.00000    
532.0000      	18796.9925    	2884.33325    
532.5000      	18779.3427    	2734.33325    
533.0000      	18761.7261    	2648.33325    
533.5000      	18744.1425    	2676.66675    
534.0000      	18726.5918    	2685.00000    
534.5000      	18709.0739    	2672.00000    
535.0000      	18691.5888    	2635.66675    
535.5000      	18674.1363    	2603.33325    
536.0000      	18656.7164    	2507.33325    
536.5000      	18639.3290    	2484.33325    
537.0000      	18621.9739    	2455.33325    
537.5000      	18604.6512    	2434.33325    
538.0000      	18587.3606    	2412.33325    
538.5000      	18570.1021    	2432.00000    
539.0000      	18552.8757    	2465.66675    
539.5000      	18535.6812    	2502.33325    
540.0000      	18518.5185    	2523.66675    
540.5000      	18501.3876    	2542.66675    
541.0000      	18484.2884    	2566.66675    
541.5000      	18467.2207    	2569.00000    
542.0000      	18450.1845    	2584.00000    
542.5000      	18433.1797    	2609.00000    
543.0000      	18416.2063    	2658.00000    
543.5000      	18399.2640    	2710.33325    
544.0000      	18382.3529    	2798.00000    
544.5000      	18365.4729    	2854.33325    
545.0000      	18348.6239    	2877.00000    
545.5000      	18331.8057    	2870.33325    
546.0000      	18315.0183    	2859.66675    
546.5000      	18298.2617    	2809.66675    
547.0000      	18281.5356    	2773.00000    
547.5000      	18264.8402    	2786.00000    
548.0000      	18248.1752    	2726.00000    
548.5000      	18231.5406    	2612.00000    
549.0000      	18214.9362    	2595.66675    
549.5000      	18198.3621    	2597.00000    
550.0000      	18181.8182    	2641.33325    
550.5000      	18165.3043    	2654.00000    
551.0000      	18148.8203    	2656.33325    
551.5000      	18132.3663    	2581.33325    
552.0000      	18115.9420    	2496.00000    
552.5000      	18099.5475    	2491.33325    
553.0000      	18083.1826    	2499.66675    
553.5000      	18066.8473    	2552.66675    
554.0000      	18050.5415    	2594.33325    
554.5000      	18034.2651    	2591.66675    
555.0000      	18018.0180    	2563.00000    
555.5000      	18001.8002    	2545.00000    
556.0000      	17985.6115    	2502.66675    
556.5000      	17969.4519    	2481.66675    
557.0000      	17953.3214    	2442.66675    
557.5000      	17937.2197    	2415.00000    
558.0000      	17921.1470    	2379.33325    
558.5000      	17905.1030    	2373.33325    
559.0000      	17889.0877    	2402.00000    
559.5000      	17873.1010    	2441.00000    
560.0000      	17857.1429    	2482.00000    
560.5000      	17841.2132    	2508.66675    
561.0000      	17825.3119    	2506.66675    
561.5000      	17809.4390    	2471.33325    
562.0000      	17793.5943    	2445.66675    
562.5000      	17777.7778    	2429.33325    
563.0000      	17761.9893    	2393.33325    
563.5000      	17746.2289    	2407.66675    
564.0000      	17730.4965    	2504.33325    
564.5000      	17714.7919    	2533.66675    
565.0000      	17699.1150    	2528.66675    
565.5000      	17683.4660    	2540.00000    
566.0000      	17667.8445    	2494.66675    
566.5000      	17652.2507    	2398.66675    
567.0000      	17636.6843    	2386.00000    
567.5000      	17621.1454    	2383.66675    
568.0000      	17605.6338    	2382.33325    
568.5000      	17590.1495    	2412.00000    
569.0000      	17574.6924    	2452.66675    
569.5000      	17559.2625    	2479.33325    
570.0000      	17543.8596    	2487.33325    
570.5000      	17528.4838    	2465.00000    
571.0000      	17513.1349    	2418.00000    
571.5000      	17497.8128    	2407.00000    
572.0000      	17482.5175    	2394.33325    
572.5000      	17467.2489    	2376.00000    
573.0000      	17452.0070    	2372.00000    
573.5000      	17436.7916    	2429.66675    
574.0000      	17421.6028    	2470.66675    
574.5000      	17406.4404    	2481.00000    
575.0000      	17391.3043    	2483.33325    
575.5000      	17376.1946    	2493.33325    
576.0000      	17361.1111    	2507.33325    
576.5000      	17346.0538    	2517.66675    
577.0000      	17331.0225    	2508.00000    
577.5000      	17316.0173    	2519.66675    
578.0000      	17301.0381    	2479.66675    
578.5000      	17286.0847    	2503.33325    
579.0000      	17271.1572    	2580.33325    
579.5000      	17256.2554    	2635.33325    
580.0000      	17241.3793    	2666.33325    
580.5000      	17226.5289    	2642.00000    
581.0000      	17211.7040    	2610.00000    
581.5000      	17196.9046    	2551.00000    
582.0000      	17182.1306    	2508.33325    
582.5000      	17167.3820    	2473.33325    
583.0000      	17152.6587    	2493.33325    
583.5000      	17137.9606    	2496.00000    
584.0000      	17123.2877    	2529.66675    
584.5000      	17108.6399    	2513.66675    
585.0000      	17094.0171    	2525.33325    
585.5000      	17079.4193    	2510.00000    
586.0000      	17064.8464    	2502.66675    
586.5000      	17050.2984    	2495.33325    
587.0000      	17035.7751    	2462.33325    
587.5000      	17021.2766    	2451.66675    
588.0000      	17006.8027    	2482.00000    
588.5000      	16992.3534    	2521.66675    
589.0000      	16977.9287    	2571.00000    
589.5000      	16963.5284    	2591.33325    
590.0000      	16949.1525    	2617.66675    
590.5000      	16934.8010    	2664.00000    
591.0000      	16920.4738    	2678.33325    
591.5000      	16906.1708    	2684.66675    
592.0000      	16891.8919    	2670.00000    
592.5000      	16877.6371    	2647.00000    
593.0000      	16863.4064    	2701.33325    
593.5000      	16849.1997    	2774.66675    
594.0000      	16835.0168    	2846.66675    
594.5000      	16820.8579    	2879.66675    
595.0000      	16806.7227    	2921.33325    
595.5000      	16792.6113    	2888.33325    
596.0000      	16778.5235    	2826.66675    
596.5000      	16764.4593    	2784.00000    
597.0000      	16750.4188    	2788.00000    
597.5000      	16736.4017    	2756.00000    
598.0000      	16722.4080    	2694.33325    
598.5000      	16708.4378    	2700.66675    
599.0000      	16694.4908    	2734.00000    
599.5000      	16680.5671    	2738.33325    
600.0000      	16666.6667    	2729.00000    
600.5000      	16652.7893    	2644.33325    
601.0000      	16638.9351    	2604.00000    
601.5000      	16625.1039    	2548.00000    
602.0000      	16611.2957    	2516.33325    
602.5000      	16597.5104    	2497.33325    
603.0000      	16583.7479    	2475.66675    
603.5000      	16570.0083    	2473.33325    
604.0000      	16556.2914    	2492.33325    
604.5000      	16542.5972    	2492.00000    
605.0000      	16528.9256    	2508.66675    
605.5000      	16515.2766    	2526.66675    
606.0000      	16501.6502    	2500.33325    
606.5000      	16488.0462    	2462.33325    
607.0000      	16474.4646    	2439.66675    
607.5000      	16460.9053    	2428.33325    
608.0000      	16447.3684    	2434.66675    
608.5000      	16433.8537    	2459.66675    
609.0000      	16420.3612    	2509.00000    
609.5000      	16406.8909    	2540.00000    
610.0000      	16393.4426    	2559.66675    
610.5000      	16380.0164    	2559.00000    
611.0000      	16366.6121    	2509.66675    
611.5000      	16353.2298    	2490.66675    
612.0000      	16339.8693    	2482.66675    
612.5000      	16326.5306    	2700.66675    
613.0000      	16313.2137    	2807.66675    
613.5000      	16299.9185    	2833.33325    
614.0000      	16286.6450    	2785.66675    
614.5000      	16273.3930    	2740.00000    
615.0000      	16260.1626    	2674.33325    
615.5000      	16246.9537    	2573.66675    
616.0000      	16233.7662    	2553.00000    
616.5000      	16220.6002    	2544.00000    
617.0000      	16207.4554    	2526.66675    
617.5000      	16194.3320    	2489.66675    
618.0000      	16181.2298    	2440.33325    
618.5000      	16168.1487    	2449.33325    
619.0000      	16155.0889    	2483.66675    
619.5000      	16142.0500    	2513.00000    
620.0000      	16129.0323    	2541.33325    
620.5000      	16116.0355    	2521.66675    
621.0000      	16103.0596    	2474.66675    
621.5000      	16090.1046    	2446.00000    
622.0000      	16077.1704    	2433.00000    
622.5000      	16064.2570    	2443.33325    
623.0000      	16051.3644    	2481.00000    
623.5000      	16038.4924    	2483.66675    
624.0000      	16025.6410    	2478.00000    
624.5000      	16012.8102    	2466.00000    
625.0000      	16000.0000    	2506.66675    
625.5000      	15987.2102    	2540.33325    
626.0000      	15974.4409    	2484.00000    
626.5000      	15961.6919    	2409.33325    
627.0000      	15948.9633    	2405.00000    
627.5000      	15936.2550    	2416.66675    
628.0000      	15923.5669    	2445.66675    
628.5000      	15910.8990    	2455.33325    
629.0000      	15898.2512    	2467.33325    
629.5000      	15885.6235    	2483.33325    
630.0000      	15873.0159    	2503.66675    
630.5000      	15860.4282    	2497.33325    
631.0000      	15847.8605    	2466.66675    
631.5000      	15835.3127    	2435.00000    
632.0000      	15822.7848    	2414.33325    
632.5000      	15810.2767    	2422.33325    
633.0000      	15797.7883    	2483.33325    
633.5000      	15785.3197    	2504.66675    
634.0000      	15772.8707    	2517.33325    
634.5000      	15760.4413    	2508.33325    
635.0000      	15748.0315    	2509.00000    
635.5000      	15735.6412    	2473.33325    
636.0000      	15723.2704    	2444.66675    
636.5000      	15710.9191    	2407.33325    
637.0000      	15698.5871    	2404.66675    
637.5000      	15686.2745    	2391.00000    
638.0000      	15673.9812    	2378.00000    
638.5000      	15661.7071    	2406.00000    
639.0000      	15649.4523    	2446.66675    
639.5000      	15637.2166    	2450.00000    
640.0000      	15625.0000    	2444.66675    
640.5000      	15612.8025    	2436.66675    
641.0000      	15600.6240    	2451.66675    
641.5000      	15588.4645    	2431.33325    
642.0000      	15576.3240    	2431.66675    
642.5000      	15564.2023    	2408.33325    
643.0000      	15552.0995    	2420.00000    
643.5000      	15540.0155    	2432.00000    
644.0000      	15527.9503    	2435.66675    
644.5000      	15515.9038    	2436.00000    
645.0000      	15503.8760    	2448.66675    
645.5000      	15491.8668    	2470.66675    
646.0000      	15479.8762    	2441.66675    
646.5000      	15467.9041    	2409.66675    
647.0000      	15455.9505    	2428.00000    
647.5000      	15444.0154    	2407.33325    
648.0000      	15432.0988    	2381.66675    
648.5000      	15420.2005    	2385.66675    
649.0000      	15408.3205    	2425.66675    
649.5000      	15396.4588    	2446.33325    
650.0000      	15384.6154    	2438.00000    
650.5000      	15372.7902    	2421.66675    
651.0000      	15360.9831    	2408.33325    
651.5000      	15349.1942    	2411.66675    
652.0000      	15337.4233    	2397.00000    
652.5000      	15325.6705    	2375.33325    
653.0000      	15313.9357    	2371.00000    
653.5000      	15302.2188    	2396.00000    
654.0000      	15290.5199    	2469.66675    
654.5000      	15278.8388    	2504.00000    
655.0000      	15267.1756    	2505.00000    
655.5000      	15255.5301    	2485.00000    
656.0000      	15243.9024    	2480.66675    
656.5000      	15232.2925    	2429.66675    
657.0000      	15220.7002    	2377.66675    
657.5000      	15209.1255    	2359.66675    
658.0000      	15197.5684    	2376.66675    
658.5000      	15186.0289    	2400.66675    
659.0000      	15174.5068    	2456.66675    
659.5000      	15163.0023    	2485.66675    
660.0000      	15151.5152    	2491.33325    
660.5000      	15140.0454    	2517.66675    
661.0000      	15128.5930    	2549.33325    
661.5000      	15117.1580    	2465.00000    
662.0000      	15105.7402    	2379.33325    
662.5000      	15094.3396    	2362.00000    
663.0000      	15082.9563    	2345.00000    
663.5000      	15071.5901    	2362.33325    
664.0000      	15060.2410    	2405.66675    
664.5000      	15048.9090    	2500.66675    
665.0000      	15037.5940    	2513.33325    
665.5000      	15026.2960    	2543.66675    
666.0000      	15015.0150    	2514.00000    
666.5000      	15003.7509    	2460.66675    
667.0000      	14992.5037    	2403.66675    
667.5000      	14981.2734    	2380.00000    
668.0000      	14970.0599    	2350.00000    
668.5000      	14958.8631    	2353.00000    
669.0000      	14947.6831    	2397.33325    
669.5000      	14936.5198    	2475.33325    
670.0000      	14925.3731    	2489.00000    
670.5000      	14914.2431    	2503.33325    
671.0000      	14903.1297    	2486.66675    
671.5000      	14892.0328    	2471.66675    
672.0000      	14880.9524    	2477.00000    
672.5000      	14869.8885    	2458.33325    
673.0000      	14858.8410    	2420.66675    
673.5000      	14847.8099    	2392.33325    
674.0000      	14836.7953    	2386.66675    
674.5000      	14825.7969    	2427.33325    
675.0000      	14814.8148    	2486.00000    
675.5000      	14803.8490    	2504.66675    
676.0000      	14792.8994    	2496.00000    
676.5000      	14781.9660    	2473.33325    
677.0000      	14771.0487    	2407.33325    
677.5000      	14760.1476    	2420.33325    
678.0000      	14749.2625    	2441.00000    
678.5000      	14738.3935    	2430.33325    
679.0000      	14727.5405    	2442.33325    
679.5000      	14716.7035    	2496.33325    
680.0000      	14705.8824    	2524.66675    
680.5000      	14695.0771    	2509.33325    
681.0000      	14684.2878    	2496.66675    
681.5000      	14673.5143    	2460.33325    
682.0000      	14662.7566    	2420.66675    
682.5000      	14652.0147    	2391.66675    
683.0000      	14641.2884    	2402.00000    
683.5000      	14630.5779    	2429.66675    
684.0000      	14619.8830    	2420.66675    
684.5000      	14609.2038    	2413.33325    
685.0000      	14598.5401    	2412.00000    
685.5000      	14587.8920    	2446.00000    
686.0000      	14577.2595    	2495.66675    
686.5000      	14566.6424    	2472.00000    
687.0000      	14556.0408    	2434.00000    
687.5000      	14545.4545    	2417.66675    
688.0000      	14534.8837    	2416.00000    
688.5000      	14524.3282    	2434.00000    
689.0000      	14513.7881    	2448.66675    
689.5000      	14503.2632    	2464.66675    
690.0000      	14492.7536    	2465.33325    
690.5000      	14482.2592    	2467.00000    
691.0000      	14471.7800    	2469.00000    
691.5000      	14461.3160    	2457.33325    
692.0000      	14450.8671    	2427.66675    
